S.no,Name,Type,Weaknesses,Height,Weight,Gender,Category
#0825,Dottler,Bug/Psychic,Fire/Flying/Bug/Rock/Ghost/Dark,0.4 m,19.5 kg,male/female,Radome
#0826,Orbeetle,Bug/Psychic,Fire/Flying/Bug/Rock/Ghost/Dark,0.4 m,40.8 kg,male/female,Seven Spot
#0827,Nickit,Dark,Fighting/Bug/Fairy,0.6 m,8.9 kg,male/female,Fox
#0828,Thievul,Dark,Fighting/Bug/Fairy,1.2 m,19.9 kg,male/female,Fox
#0829,Gossifleur,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,2.2 kg,male/female,Flowering
#0830,Eldegoss,Grass,Fire/Ice/Poison/Flying/Bug,0.5 m,2.5 kg,male/female,Cotton Bloom
#0831,Wooloo,Normal,Fighting,0.6 m,6 kg,male/female,Sheep
#0832,Dubwool,Normal,Fighting,1.3 m,43 kg,male/female,Sheep
#0833,Chewtle,Water,Electric/Grass,0.3 m,8.5 kg,male/female,Snapping
#0834,Drednaw,Water/Rock,Electric/Grass/Fighting/Ground,1 m,115.5 kg,male/female,Bite
#0835,Yamper,Electric,Ground,0.3 m,13.5 kg,male/female,Puppy
#0836,Boltund,Electric,Ground,1 m,34 kg,male/female,Dog
#0837,Rolycoly,Rock,Water/Grass/Fighting/Ground/Steel,0.3 m,12 kg,male/female,Coal
#0838,Carkol,Rock/Fire,Water/Fighting/Ground/Rock,1.1 m,78 kg,male/female,Coal
#0839,Coalossal,Rock/Fire,Water/Fighting/Ground/Rock,2.8 m,310.5 kg,male/female,Coal
#0840,Applin,Grass/Dragon,Ice/Poison/Flying/Bug/Dragon/Fairy,0.2 m,0.5 kg,male/female,Apple Core
#0841,Flapple,Grass/Dragon,Ice/Poison/Flying/Bug/Dragon/Fairy,0.3 m,1 kg,male/female,Apple Wing
#0842,Appletun,Grass/Dragon,Ice/Poison/Flying/Bug/Dragon/Fairy,0.4 m,13 kg,male/female,Apple Nectar
#0843,Silicobra,Ground,Water/Grass/Ice,2.2 m,7.6 kg,male/female,Sand Snake
#0844,Sandaconda,Ground,Water/Grass/Ice,3.8 m,65.5 kg,male/female,Sand Snake
#0845,Cramorant,Flying/Water,Electric/Rock,0.8 m,18 kg,male/female,Gulp
#0846,Arrokuda,Water,Electric/Grass,0.5 m,1 kg,male/female,Rush
#0847,Barraskewda,Water,Electric/Grass,1.3 m,30 kg,male/female,Skewer
#0848,Toxel,Electric/Poison,Ground/Psychic,0.4 m,11 kg,male/female,Baby
#0849,Toxtricity-Amped,Electric/Poison,Ground/Psychic,1.6 m,40 kg,male/female,Punk
#0850,Sizzlipede,Fire/Bug,Water/Flying/Rock,0.7 m,1 kg,male/female,Radiator
#0851,Centiskorch,Fire/Bug,Water/Flying/Rock,3 m,120 kg,male/female,Radiator
#0852,Clobbopus,Fighting,Flying/Psychic/Fairy,0.6 m,4 kg,male/female,Tantrum
#0853,Grapploct,Fighting,Flying/Psychic/Fairy,1.6 m,39 kg,male/female,Jujitsu
#0854,Sinistea,Ghost,Ghost/Dark,0.1 m,0.2 kg,genderless,Black Tea
#0855,Polteageist,Ghost,Ghost/Dark,0.2 m,0.4 kg,genderless,Black Tea
#0856,Hatenna,Psychic,Bug/Ghost/Dark,0.4 m,3.4 kg,female,Calm
#0857,Hattrem,Psychic,Bug/Ghost/Dark,0.6 m,4.8 kg,female,Serene
#0858,Hatterene,Psychic/Fairy,Poison/Ghost/Steel,2.1 m,5.1 kg,female,Silent
#0859,Impidimp,Dark/Fairy,Poison/Steel/Fairy,0.4 m,5.5 kg,male,Wily
#0860,Morgrem,Dark/Fairy,Poison/Steel/Fairy,0.8 m,12.5 kg,male,Devious
#0861,Grimmsnarl,Dark/Fairy,Poison/Steel/Fairy,1.5 m,61 kg,male,Bulk Up
#0862,Obstagoon,Dark/Normal,Fighting/Bug/Fairy,1.6 m,46 kg,male/female,Blocking
#0863,Perrserker,Steel,Fire/Ground,0.8 m,28 kg,male/female,Viking
#0864,Cursola,Ghost,Ghost/Dark,1 m,0.4 kg,male/female,Coral
#0865,Sirfetchd,Fighting,Flying/Psychic/Fairy,0.8 m,117 kg,male/female,Wild Duck
#0866,Mr-Rime,Ice/Psychic,Fire/Bug/Rock/Ghost/Dark/Steel,1.5 m,58.2 kg,male/female,Comedian
#0867,Runerigus,Ground/Ghost,Water/Grass/Ice/Ghost/Dark,1.6 m,66.6 kg,male/female,Grudge
#0868,Milcery,Fairy,Poison/Steel,0.2 m,0.3 kg,female,Cream
#0869,Alcremie,Fairy,Poison/Steel,0.3 m,0.5 kg,female,Cream
#0870,Falinks,Fighting,Flying/Psychic/Fairy,3 m,62 kg,genderless,Formation
#0871,Pincurchin,Electric,Ground,0.3 m,1 kg,male/female,Sea Urchin
#0872,Snom,Ice/Bug,Fire/Flying/Rock/Steel,0.3 m,3.8 kg,male/female,Worm
#0873,Frosmoth,Ice/Bug,Fire/Flying/Rock/Steel,1.3 m,42 kg,male/female,Frost Moth
#0874,Stonjourner,Rock,Water/Grass/Fighting/Ground/Steel,2.5 m,520 kg,male/female,Big Rock
#0875,Eiscue-Ice,Ice,Fire/Fighting/Rock/Steel,1.4 m,89 kg,male/female,Penguin
#0876,Indeedee-Male,Psychic/Normal,Bug/Dark,0.9 m,28 kg,male/female,Emotion
#0877,Morpeko-Full-Belly,Electric/Dark,Fighting/Ground/Bug/Fairy,0.3 m,3 kg,male/female,Two-Sided
#0878,Cufant,Steel,Fire/Ground,1.2 m,100 kg,male/female,Copperderm
#0879,Copperajah,Steel,Fire/Ground,3 m,650 kg,male/female,Copperderm
#0880,Dracozolt,Electric/Dragon,Ice/Ground/Dragon/Fairy,1.8 m,190 kg,genderless,Fossil
#0881,Arctozolt,Electric/Ice,Fire/Fighting/Ground/Rock,2.3 m,150 kg,genderless,Fossil
#0882,Dracovish,Water/Dragon,Dragon/Fairy,2.3 m,215 kg,genderless,Fossil
#0883,Arctovish,Water/Ice,Electric/Grass/Fighting/Rock,2 m,175 kg,genderless,Fossil
#0884,Duraludon,Steel/Dragon,Ground,1.8 m,40 kg,male/female,Alloy
#0885,Dreepy,Dragon/Ghost,Ice/Ghost/Dragon/Dark/Fairy,0.5 m,2 kg,male/female,Lingering
#0886,Drakloak,Dragon/Ghost,Ice/Ghost/Dragon/Dark/Fairy,1.4 m,11 kg,male/female,Caretaker
#0887,Dragapult,Dragon/Ghost,Ice/Ghost/Dragon/Dark/Fairy,3 m,50 kg,male/female,Stealth
#0888,Zacian,Fairy,Poison/Steel,2.8 m,110 kg,genderless,Warrior
#0889,Zamazenta,Fighting,Flying/Psychic/Fairy,2.9 m,210 kg,genderless,Warrior
#0890,Eternatus,Poison/Dragon,Ice/Ground/Psychic/Dragon,20 m,950 kg,genderless,Gigantic
#0891,Kubfu,Fighting,Flying/Psychic/Fairy,0.6 m,12 kg,male/female,Wushu
#0892,Urshifu-Single-Strike,Fighting/Dark,Fighting/Flying/Fairy,1.9 m,105 kg,male/female,Wushu
#0893,Zarude,Dark/Grass,Fire/Ice/Fighting/Poison/Flying/Bug/Fairy,1.8 m,70 kg,genderless,Rogue Monkey
#0894,Regieleki,Electric,Ground,1.2 m,145 kg,genderless,Electron
#0895,Regidrago,Dragon,Ice/Dragon/Fairy,2.1 m,200 kg,genderless,Dragon Orb
#0896,Glastrier,Ice,Fire/Fighting/Rock/Steel,2.2 m,800 kg,genderless,Wild Horse
#0897,Spectrier,Ghost,Ghost/Dark,2 m,44.5 kg,genderless,Swift Horse
#0898,Calyrex,Psychic/Grass,Fire/Ice/Poison/Flying/Bug/Ghost/Dark,1.1 m,7.7 kg,genderless,King
#0899,Wyrdeer,Normal/Psychic,Bug/Dark,1.8 m,95.1 kg,male/female,Big Horn
#0900,Kleavor,Bug/Rock,Water/Rock/Steel,1.8 m,89 kg,male/female,Axe
#0901,Ursaluna,Ground/Normal,Water/Grass/Ice/Fighting,2.4 m,290 kg,male/female,Peat
#0902,Basculegion-Male,Water/Ghost,Electric/Grass/Ghost/Dark,3 m,110 kg,male/female,Big Fish
#0903,Sneasler,Fighting/Poison,Ground/Flying/Psychic,1.3 m,43 kg,male/female,Free Climb
#0904,Overqwil,Dark/Poison,Ground,2.5 m,60.5 kg,male/female,Pin Cluster
#0905,Enamorus-Incarnate,Fairy/Flying,Electric/Ice/Poison/Rock/Steel,1.6 m,48 kg,female,Love-Hate
#0906,Sprigatito,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,4.1 kg,male/female,Grass Cat
#0907,Floragato,Grass,Fire/Ice/Poison/Flying/Bug,0.9 m,12.2 kg,male/female,Grass Cat
#0908,Meowscarada,Grass/Dark,Fire/Ice/Fighting/Poison/Flying/Bug/Fairy,1.5 m,31.2 kg,male/female,Magician
#0909,Fuecoco,Fire,Water/Ground/Rock,0.4 m,9.8 kg,male/female,Fire Croc
#0910,Crocalor,Fire,Water/Ground/Rock,1 m,30.7 kg,male/female,Fire Croc
#0911,Skeledirge,Fire/Ghost,Water/Ground/Rock/Ghost/Dark,1.6 m,326.5 kg,male/female,Singer
#0912,Quaxly,Water,Electric/Grass,0.5 m,6.1 kg,male/female,Duckling
#0913,Quaxwell,Water,Electric/Grass,1.2 m,21.5 kg,male/female,Practicing
#0914,Quaquaval,Water/Fighting,Electric/Grass/Flying/Psychic/Fairy,1.8 m,61.9 kg,male/female,Dancer
#0915,Lechonk,Normal,Fighting,0.5 m,10.2 kg,male/female,Hog
#0916,Oinkologne-Male,Normal,Fighting,1 m,120 kg,male,Hog
#0917,Tarountula,Bug,Fire/Flying/Rock,0.3 m,4 kg,male/female,String Ball
#0918,Spidops,Bug,Fire/Flying/Rock,1 m,16.5 kg,male/female,Trap
#0919,Nymble,Bug,Fire/Flying/Rock,0.2 m,1 kg,male/female,Grasshopper
#0920,Lokix,Bug/Dark,Fire/Flying/Bug/Rock/Fairy,1 m,17.5 kg,male/female,Grasshopper
#0921,Pawmi,Electric,Ground,0.3 m,2.5 kg,male/female,Mouse
#0922,Pawmo,Electric/Fighting,Ground/Psychic/Fairy,0.4 m,6.5 kg,male/female,Mouse
#0923,Pawmot,Electric/Fighting,Ground/Psychic/Fairy,0.9 m,41 kg,male/female,Hands-On
#0924,Tandemaus,Normal,Fighting,0.3 m,1.8 kg,genderless,Couple
#0925,Maushold-Family-Of-Four,Normal,Fighting,0.3 m,2.8 kg,genderless,Family
#0926,Fidough,Fairy,Poison/Steel,0.3 m,10.9 kg,male/female,Puppy
#0927,Dachsbun,Fairy,Poison/Steel,0.5 m,14.9 kg,male/female,Dog
#0928,Smoliv,Grass/Normal,Fire/Ice/Fighting/Poison/Flying/Bug,0.3 m,6.5 kg,male/female,Olive
#0929,Dolliv,Grass/Normal,Fire/Ice/Fighting/Poison/Flying/Bug,0.6 m,11.9 kg,male/female,Olive
#0930,Arboliva,Grass/Normal,Fire/Ice/Fighting/Poison/Flying/Bug,1.4 m,48.2 kg,male/female,Olive
#0931,Squawkabilly-Green-Plumage,Normal/Flying,Electric/Ice/Rock,0.6 m,2.4 kg,male/female,Parrot
#0932,Nacli,Rock,Water/Grass/Fighting/Ground/Steel,0.4 m,16 kg,male/female,Rock Salt
#0933,Naclstack,Rock,Water/Grass/Fighting/Ground/Steel,0.6 m,105 kg,male/female,Rock Salt
#0934,Garganacl,Rock,Water/Grass/Fighting/Ground/Steel,2.3 m,240 kg,male/female,Rock Salt
#0935,Charcadet,Fire,Water/Ground/Rock,0.6 m,10.5 kg,male/female,Fire Child
#0936,Armarouge,Fire/Psychic,Water/Ground/Rock/Ghost/Dark,1.5 m,85 kg,male/female,Fire Warrior
#0937,Ceruledge,Fire/Ghost,Water/Ground/Rock/Ghost/Dark,1.6 m,62 kg,male/female,Fire Blades
#0938,Tadbulb,Electric,Ground,0.3 m,0.4 kg,male/female,EleTadpole
#0939,Bellibolt,Electric,Ground,1.2 m,113 kg,male/female,EleFrog
#0940,Wattrel,Electric/Flying,Ice/Rock,0.4 m,3.6 kg,male/female,Storm Petrel
#0941,Kilowattrel,Electric/Flying,Ice/Rock,1.4 m,38.6 kg,male/female,Frigatebird
#0942,Maschiff,Dark,Fighting/Bug/Fairy,0.5 m,16 kg,male/female,Rascal
#0943,Mabosstiff,Dark,Fighting/Bug/Fairy,1.1 m,61 kg,male/female,Boss
#0944,Shroodle,Poison/Normal,Ground/Psychic,0.2 m,0.7 kg,male/female,Toxic Mouse
#0945,Grafaiai,Poison/Normal,Ground/Psychic,0.7 m,27.2 kg,male/female,Toxic Monkey
#0946,Bramblin,Grass/Ghost,Fire/Ice/Flying/Ghost/Dark,0.6 m,0.6 kg,male/female,Tumbleweed
#0947,Brambleghast,Grass/Ghost,Fire/Ice/Flying/Ghost/Dark,1.2 m,6 kg,male/female,Tumbleweed
#0948,Toedscool,Ground/Grass,Fire/Ice/Flying/Bug,0.9 m,33 kg,male/female,Woodear
#0949,Toedscruel,Ground/Grass,Fire/Ice/Flying/Bug,1.9 m,58 kg,male/female,Woodear
#0950,Klawf,Rock,Water/Grass/Fighting/Ground/Steel,1.3 m,79 kg,male/female,Ambush
#0951,Capsakid,Grass,Fire/Ice/Poison/Flying/Bug,0.3 m,3 kg,male/female,Spicy Pepper
#0952,Scovillain,Grass/Fire,Poison/Flying/Rock,0.9 m,15 kg,male/female,Spicy Pepper
#0953,Rellor,Bug,Fire/Flying/Rock,0.2 m,1 kg,male/female,Rolling
#0954,Rabsca,Bug/Psychic,Fire/Flying/Bug/Rock/Ghost/Dark,0.3 m,3.5 kg,male/female,Rolling
#0955,Flittle,Psychic,Bug/Ghost/Dark,0.2 m,1.5 kg,male/female,Frill
#0956,Espathra,Psychic,Bug/Ghost/Dark,1.9 m,90 kg,male/female,Ostrich
#0957,Tinkatink,Fairy/Steel,Fire/Ground/Steel,0.4 m,8.9 kg,female,Metalsmith
#0958,Tinkatuff,Fairy/Steel,Fire/Ground/Steel,0.7 m,59.1 kg,female,Hammer
#0959,Tinkaton,Fairy/Steel,Fire/Ground/Steel,0.7 m,112.8 kg,female,Hammer
#0960,Wiglett,Water,Electric/Grass,1.2 m,1.8 kg,male/female,Garden Eel
#0961,Wugtrio,Water,Electric/Grass,1.2 m,5.4 kg,male/female,Garden Eel
#0962,Bombirdier,Flying/Dark,Electric/Ice/Rock/Fairy,1.5 m,42.9 kg,male/female,Item Drop
#0963,Finizen,Water,Electric/Grass,1.3 m,60.2 kg,male/female,Dolphin
#0964,Palafin-Zero,Water,Electric/Grass,1.3 m,60.2 kg,male/female,Dolphin
#0965,Varoom,Steel/Poison,Fire/Ground,1 m,35 kg,male/female,Single-Cyl
#0966,Revavroom,Steel/Poison,Fire/Ground,1.8 m,120 kg,male/female,Multi-Cyl
#0967,Cyclizar,Dragon/Normal,Ice/Fighting/Dragon/Fairy,1.6 m,63 kg,male/female,Mount
#0968,Orthworm,Steel,Fire/Ground,2.5 m,310 kg,male/female,Earthworm
#0969,Glimmet,Rock/Poison,Water/Ground/Psychic/Steel,0.7 m,8 kg,male/female,Ore
#0970,Glimmora,Rock/Poison,Water/Ground/Psychic/Steel,1.5 m,45 kg,male/female,Ore
#0971,Greavard,Ghost,Ghost/Dark,0.6 m,35 kg,male/female,Ghost Dog
#0972,Houndstone,Ghost,Ghost/Dark,2 m,15 kg,male/female,Ghost Dog
#0973,Flamigo,Flying/Fighting,Electric/Ice/Flying/Psychic/Fairy,1.6 m,37 kg,male/female,Synchronize
#0974,Cetoddle,Ice,Fire/Fighting/Rock/Steel,1.2 m,45 kg,male/female,Terra Whale
#0975,Cetitan,Ice,Fire/Fighting/Rock/Steel,4.5 m,700 kg,male/female,Terra Whale
#0976,Veluza,Water/Psychic,Electric/Grass/Bug/Ghost/Dark,2.5 m,90 kg,male/female,Jettison
#0977,Dondozo,Water,Electric/Grass,12 m,220 kg,male/female,Big Catfish
#0978,Tatsugiri-Curly,Dragon/Water,Dragon/Fairy,0.3 m,8 kg,male/female,Mimicry
#0979,Annihilape,Fighting/Ghost,Flying/Psychic/Ghost/Fairy,1.2 m,56 kg,male/female,Rage Monkey
#0980,Clodsire,Poison/Ground,Water/Ice/Ground/Psychic,1.8 m,223 kg,male/female,Spiny Fish
#0981,Farigiraf,Normal/Psychic,Bug/Dark,3.2 m,160 kg,male/female,Long Neck
#0982,Dudunsparce-Two-Segment,Normal,Fighting,3.6 m,39.2 kg,male/female,Land Snake
#0983,Kingambit,Dark/Steel,Fire/Fighting/Ground,2 m,120 kg,male/female,Big Blade
#0984,Great-Tusk,Ground/Fighting,Water/Grass/Ice/Flying/Psychic/Fairy,2.2 m,320 kg,genderless,Paradox
#0985,Scream-Tail,Fairy/Psychic,Poison/Ghost/Steel,1.2 m,8 kg,genderless,Paradox
#0986,Brute-Bonnet,Grass/Dark,Fire/Ice/Fighting/Poison/Flying/Bug/Fairy,1.2 m,21 kg,genderless,Paradox
#0987,Flutter-Mane,Ghost/Fairy,Ghost/Steel,1.4 m,4 kg,genderless,Paradox
#0988,Slither-Wing,Bug/Fighting,Fire/Flying/Psychic/Fairy,3.2 m,92 kg,genderless,Paradox
#0989,Sandy-Shocks,Electric/Ground,Water/Grass/Ice/Ground,2.3 m,60 kg,genderless,Paradox
#0990,Iron-Treads,Ground/Steel,Fire/Water/Ground,0.9 m,240 kg,genderless,Paradox
#0991,Iron-Bundle,Ice/Water,Electric/Grass/Fighting/Rock,0.6 m,11 kg,genderless,Paradox
#0992,Iron-Hands,Fighting/Electric,Ground/Psychic/Fairy,1.8 m,380.7 kg,genderless,Paradox
#0993,Iron-Jugulis,Dark/Flying,Electric/Ice/Rock/Fairy,1.3 m,111 kg,genderless,Paradox
#0994,Iron-Moth,Fire/Poison,Water/Ground/Psychic/Rock,1.2 m,36 kg,genderless,Paradox
#0995,Iron-Thorns,Rock/Electric,Water/Grass/Fighting/Ground,1.6 m,303 kg,genderless,Paradox
#0996,Frigibax,Dragon/Ice,Fighting/Rock/Dragon/Steel/Fairy,0.5 m,17 kg,male/female,Ice Fin
#0997,Arctibax,Dragon/Ice,Fighting/Rock/Dragon/Steel/Fairy,0.8 m,30 kg,male/female,Ice Fin
#0998,Baxcalibur,Dragon/Ice,Fighting/Rock/Dragon/Steel/Fairy,2.1 m,210 kg,male/female,Ice Dragon
#0999,Gimmighoul,Ghost,Ghost/Dark,0.3 m,5 kg,genderless,Coin Chest
#1000,Gholdengo,Steel/Ghost,Fire/Ground/Ghost/Dark,1.2 m,30 kg,genderless,Coin Entity
#1001,Wo-Chien,Dark/Grass,Fire/Ice/Fighting/Poison/Flying/Bug/Fairy,1.5 m,74.2 kg,genderless,Ruinous
#1002,Chien-Pao,Dark/Ice,Fire/Fighting/Bug/Rock/Steel/Fairy,1.9 m,152.2 kg,genderless,Ruinous
#1003,Ting-Lu,Dark/Ground,Water/Grass/Ice/Fighting/Bug/Fairy,2.7 m,699.7 kg,genderless,Ruinous
#1004,Chi-Yu,Dark/Fire,Water/Fighting/Ground/Rock,0.4 m,4.9 kg,genderless,Ruinous
#1005,Roaring-Moon,Dragon/Dark,Ice/Fighting/Bug/Dragon/Fairy,2 m,380 kg,genderless,Paradox
#1006,Iron-Valiant,Fairy/Fighting,Poison/Flying/Psychic/Steel/Fairy,1.4 m,35 kg,genderless,Paradox
#1007,Koraidon,Fighting/Dragon,Ice/Flying/Psychic/Dragon/Fairy,2.5 m,303 kg,genderless,Paradox
#1008,Miraidon,Electric/Dragon,Ice/Ground/Dragon/Fairy,3.5 m,240 kg,genderless,Paradox
#1009,Walking-Wake,Water/Dragon,Dragon/Fairy,3.5 m,280 kg,genderless,Paradox
#1010,Iron-Leaves,Grass/Psychic,Fire/Ice/Poison/Flying/Bug/Ghost/Dark,1.5 m,125 kg,genderless,Paradox
#1011,Dipplin,Grass/Dragon,Ice/Poison/Flying/Bug/Dragon/Fairy,0.4 m,9.7 kg,male/female,Candy Apple
#1012,Poltchageist,Grass/Ghost,Fire/Ice/Flying/Ghost/Dark,0.1 m,1.1 kg,genderless,Matcha
#1013,Sinistcha,Grass/Ghost,Fire/Ice/Flying/Ghost/Dark,0.2 m,2.2 kg,genderless,Matcha
#1014,Okidogi,Poison/Fighting,Ground/Flying/Psychic,1.8 m,92.2 kg,male,Retainer
#1015,Munkidori,Poison/Psychic,Ground/Ghost/Dark,1 m,12.2 kg,male,Retainer
#1016,Fezandipiti,Poison/Fairy,Ground/Psychic/Steel,1.4 m,30.1 kg,male,Retainer
#1017,Ogerpon,Grass,Fire/Ice/Poison/Flying/Bug,1.2 m,39.8 kg,female,Mask
#1018,Archaludon,Steel/Dragon,Ground,2 m,60 kg,male/female,Alloy
#1019,Hydrapple,Grass/Dragon,Ice/Poison/Flying/Bug/Dragon/Fairy,1.8 m,93 kg,male/female,Apple Hydra
#1020,Gouging-Fire,Fire/Dragon,Ground/Rock/Dragon,3.5 m,590 kg,genderless,Paradox
#1021,Raging-Bolt,Electric/Dragon,Ice/Ground/Dragon/Fairy,5.2 m,480 kg,genderless,Paradox
#1022,Iron-Boulder,Rock/Psychic,Water/Grass/Ground/Bug/Ghost/Dark/Steel,1.5 m,162.5 kg,genderless,Paradox
#1023,Iron-Crown,Steel/Psychic,Fire/Ground/Ghost/Dark,1.6 m,156 kg,genderless,Paradox
#1024,Terapagos,Normal,Fighting,0.2 m,6.5 kg,male/female,Tera
#1025,Pecharunt,Poison/Ghost,Ground/Psychic/Ghost/Dark,0.3 m,0.3 kg,genderless,Subjugation
